app_name,customer_transactions_volume,customer_transactions_value,b2c_volume,b2c_value,b2b_volume,b2b_value,on_us_volume,on_us_value,total_volume,total_value,month
Citi Bank Apps,0.13,60.76,0,0,0,0,0,0,0.13,60.76,01-Nov-22
City Union Bank Apps,0.04,12.58,0,0,0,0,0,0,0.04,12.58,01-Nov-22
Cointab,0.03,13.87,0,0,0,0,0,0,0.03,13.87,01-Nov-22
Cred,25.63,18599.72,0,0,0,0,0,0,25.63,18599.72,01-Nov-22
DBS Digibank Apps,0.4,169.55,0,0,0,0,0,0,0.41,169.55,01-Nov-22
Deutsche Bank Apps,1.3,104.2,0,0,0,0.01,0,0,1.3,104.21,01-Nov-22
Dhanlaxmi Bank Apps,0.01,2.75,0,0,0,0,0,0,0.01,2.75,01-Nov-22
Equitas Small Finance Bank Apps,0.02,9.82,0,0,0,0,0,0,0.02,9.82,01-Nov-22
Fampay PPI,4.88,64.75,0,0,0,0,0,0,4.88,64.75,01-Nov-22
Fave,0.05,2.83,0,0,0,0,0,0,0.05,2.83,01-Nov-22
Federal Bank Apps,4.11,553.97,0,0,0,0,0,0,4.11,553.97,01-Nov-22
Fino Payments bank Apps,0.1,6.61,0,0,0,0,0,0,0.1,6.61,01-Nov-22
Google Pay,2541.14,409714.75,0,0,0,0,0,0,2541.14,409714.75,01-Nov-22
Groww,0.05,36.46,0,0,0,0,0,0,0.05,36.46,01-Nov-22
HDFC Bank Apps,10.66,2758.27,0,0,0,0.18,0,0,10.66,2758.45,01-Nov-22
HSBC Bank Apps,0.12,72.51,0,0.06,0,0,0,0,0.12,72.58,01-Nov-22
ICICI Bank Apps,33.4,7829.07,4.32,334.5,6.36,6587.24,0,0,44.07,14750.8,01-Nov-22
IDBI Bank Apps,0.06,24.78,0,0,0,0,0,0,0.06,24.78,01-Nov-22
IDFC Bank Apps,10.46,895.21,0,0,0.01,8.16,0,0,10.47,903.37,01-Nov-22
India Post Payments Bank Apps,4.66,589.14,0,0,0,0,0,0,4.66,589.14,01-Nov-22
Indian Bank Apps,0.23,67.2,0,0,0,0,0,0,0.23,67.2,01-Nov-22
Indian Overseas Bank Apps,0.01,2.48,0,0,0,0,0,0,0.01,2.48,01-Nov-22
IndusInd Bank Apps,1.2,1224.13,0,0,0,0,0,0,1.2,1224.13,01-Nov-22
Janata Sahakari Bank Apps,0.01,3.99,0,0,0,0,0,0,0.01,3.99,01-Nov-22
Jio Payments Bank Apps,1.31,96.23,0,0,0,0,0,0,1.31,96.23,01-Nov-22
Jupiter,2.16,275.52,0,0,0,0,0,0,2.16,275.52,01-Nov-22
Karnataka Bank Apps,0.4,74.82,0,0,0,0,0,0,0.4,74.82,01-Nov-22
Karur Vysya Bank Apps,0.04,16.23,0,0,0,0,0,0,0.04,16.23,01-Nov-22
Kotak Mahindra Bank Apps,10.93,2304.9,0,0,0,0,0,0,10.93,2304.9,01-Nov-22
MakeMyTrip,0.02,7.69,0,0,0,0,0,0,0.02,7.69,01-Nov-22
Mobikwik,3.46,762.67,0,0,0,0,0,0,3.46,762.67,01-Nov-22
NSDL Payments Bank Apps,0.02,2.7,0,0,0,0,0,0,0.02,2.7,01-Nov-22
Paytm Payments Bank App,973.85,109008.43,4.12,14.81,0.37,491.76,103.13,19290.91,1081.47,128805.91,01-Nov-22
PhonePe,3418.75,591327.61,0,0,0,0,0,0,3418.75,591327.61,01-Nov-22
Punjab National Bank Apps,0.16,60.47,0,0,0,0,0,0,0.16,60.47,01-Nov-22
Punjab Sind Bank Apps,0.03,8.97,0,0,0,0,0,0,0.03,8.97,01-Nov-22
RBL Bank Apps,1.14,268.54,0,0,0.04,2.26,0,0,1.18,270.81,01-Nov-22
Samsung Pay,5.07,506.82,0,0,0,0,0,0,5.07,506.82,01-Nov-22
Slash,0.01,0.28,0,0,0,0,0,0,0.01,0.28,01-Nov-22
slice,0.51,206.66,0,0,0,0,0,0,0.51,206.66,01-Nov-22
South Indian Bank Apps,0.2,58.1,0,0,0,0,0,0,0.2,58.1,01-Nov-22
Standard Chartered Bank Apps,0.15,79.67,0.4,12.9,0,0,0,0,0.55,92.57,01-Nov-22
State Bank of India Apps,4.07,1876.46,0,0,0,0,0,0,4.07,1876.46,01-Nov-22
Tamilnad Mercantile Bank Apps,0.07,10.48,0,0,0,0,0,0,0.07,10.48,01-Nov-22
TataNeu,0.14,17.17,0,0,0,0,0,0,0.14,17.17,01-Nov-22
TJSB Bank Apps,0.01,2.25,0,0,0,0,0,0,0.01,2.25,01-Nov-22
UCO Bank Apps,0.26,78.38,0,0,0,0,0,0,0.26,78.38,01-Nov-22
Ultracash,0.02,0.27,0,0,0,0,0,0,0.02,0.27,01-Nov-22
Union Bank Apps,1.11,313.3,0,0,0,0,0,0,1.11,313.3,01-Nov-22
Utkarsh Small Finance Bank Apps,0.02,7.1,0,0,0,0,0,0,0.02,7.1,01-Nov-22
WhatsApp,9.25,769.29,0,0,0,0,0,0,9.25,769.29,01-Nov-22
Yes Bank Apps,43.18,14682.54,0,0,0.41,219.88,0,0,43.58,14902.42,01-Nov-22
Others,0.02,4.07,0,0,0,0,0,0,0.02,4.07,01-Nov-22
Airtel Payments Bank Apps,8.69,681.55,0,0,0,0,0,0.12,8.7,681.67,01-Dec-22
Allahabad Bank Apps,0.03,9.75,0,0,0,0,0,0,0.03,9.75,01-Dec-22
Amazon Pay,69.61,6621.66,0,0,0,0,0,0,69.61,6621.66,01-Dec-22
AU Small Finance Bank Apps,0.58,177.47,0,0,0,0,0,0,0.58,177.47,01-Dec-22
Axis Bank Apps,7.26,1246.36,58.27,56.3,0.03,2.44,0,0,65.56,1305.09,01-Dec-22
Bajaj Finserv,4.56,647.71,0,0,0,0,0,0,4.56,647.71,01-Dec-22
Bandhan Bank Apps,0.01,1.53,0,0,0,0,0,0,0.01,1.53,01-Dec-22
Bank of Baroda Apps,1.02,397.56,0,0,0,0,0,0,1.02,397.56,01-Dec-22
Bank of India Apps,0.22,64.32,0,0,0,0,0,0,0.22,64.32,01-Dec-22
Bank of Maharashtra Apps,0.08,19.91,0,0,0,0,0,0,0.08,19.91,01-Dec-22
BHIM,25.5,8400.04,0,0,0,0,0,0,25.5,8400.04,01-Dec-22
Canara Bank Apps,1.02,275.7,0,0,0,0,0,0,1.02,275.7,01-Dec-22
Central Bank of India Apps,0.26,60.28,0,0,0,0.05,0,0,0.26,60.32,01-Dec-22
Citi Bank Apps,0.09,68.38,0,0,0,0,0,0,0.09,68.38,01-Dec-22
City Union Bank Apps,0.05,14.38,0,0,0,0,0,0,0.05,14.38,01-Dec-22
Cointab,0.05,18.98,0,0,0,0,0,0,0.05,18.98,01-Dec-22
Cred,31.42,19622.29,0,0,0,0,0,0,31.42,19622.29,01-Dec-22
DBS Digibank Apps,0.41,171.59,0,0,0,0,0,0,0.41,171.59,01-Dec-22
Deutsche Bank Apps,1.28,104.47,0,0,0,0.01,0,0,1.28,104.49,01-Dec-22
Dhanlaxmi Bank Apps,0.01,3.16,0,0,0,0,0,0,0.01,3.16,01-Dec-22
Equitas Small Finance Bank Apps,0.02,11.69,0,0,0,0,0,0,0.02,11.69,01-Dec-22
Fampay PPI,9.7,127.18,0,0,0,0.01,0,0,9.7,127.19,01-Dec-22
Fave,0.08,5.01,0,0,0,0,0,0,0.08,5.01,01-Dec-22
Federal Bank Apps,4.57,595.17,0,0,0,0.01,0,0,4.57,595.18,01-Dec-22
Fino Payments bank Apps,0.11,7.49,0,0,0,0,0,0,0.11,7.49,01-Dec-22
Google Pay,2712.34,440370.99,0,0,0,0,0,0,2712.34,440370.99,01-Dec-22
Groww,0.21,153.02,0,0,0,0,0,0,0.21,153.02,01-Dec-22
HDFC Bank Apps,11.81,3143.08,0,0,0,0.15,0,0,11.81,3143.24,01-Dec-22
HSBC Bank Apps,0.15,78.59,0,0.05,0,0,0,0,0.15,78.63,01-Dec-22
ICICI Bank Apps,36.74,8815.95,5.17,418.68,6.38,6890.51,0,0,48.29,16125.15,01-Dec-22
IDBI Bank Apps,0.07,29.5,0,0,0,0,0,0,0.07,29.5,01-Dec-22
IDFC Bank Apps,9.55,1184.6,0,0,0.16,138.38,0,0,9.7,1322.98,01-Dec-22
India Post Payments Bank Apps,5.55,682.59,0,0,0,0,0,0,5.55,682.59,01-Dec-22
Indian Bank Apps,0.25,73.71,0,0,0,0,0,0,0.25,73.71,01-Dec-22
Indian Overseas Bank Apps,0.01,2.9,0,0,0,0,0,0,0.01,2.9,01-Dec-22
IndusInd Bank Apps,1.26,1062.4,0,0,0,0,0,0,1.26,1062.4,01-Dec-22
Janata Sahakari Bank Apps,0.01,4.58,0,0,0,0,0,0,0.01,4.58,01-Dec-22
Jio Payments Bank Apps,1.48,104.71,0,0,0,0,0,0,1.48,104.71,01-Dec-22
Jupiter,2.53,318.03,0,0,0,0,0,0,2.53,318.03,01-Dec-22
Karnataka Bank Apps,0.48,91.09,0,0,0,0,0,0,0.48,91.09,01-Dec-22
Karur Vysya Bank Apps,0.04,14.87,0,0,0,0,0,0,0.04,14.87,01-Dec-22
Kotak Mahindra Bank Apps,11.53,2480.17,0,0,0,0.01,0,0,11.53,2480.18,01-Dec-22
MakeMyTrip,0.1,52.3,0,0,0,0,0,0,0.1,52.3,01-Dec-22
Mobikwik,3.62,806.82,0,0,0,0,0,0,3.62,806.82,01-Dec-22
NSDL Payments Bank Apps,0.02,2.95,0,0,0,0,0,0,0.02,2.95,01-Dec-22
Paytm Payments Bank App,1054.05,118069.81,6.08,16.86,0.43,580.52,109.79,20154.47,1170.34,138821.66,01-Dec-22
PhonePe,3674.24,639348.78,0,0,0,0,0,0,3674.24,639348.78,01-Dec-22
Punjab National Bank Apps,0.22,76.7,0,0,0,0,0,0,0.22,76.7,01-Dec-22
Punjab Sind Bank Apps,0.03,10.48,0,0,0,0,0,0,0.03,10.48,01-Dec-22
RBL Bank Apps,0.92,214.4,0,0.01,0.18,0.89,0,0,1.1,215.3,01-Dec-22
Samsung Pay,5.49,531.12,0,0,0,0,0,0,5.49,531.12,01-Dec-22
Slash,0.01,0.79,0,0,0,0,0,0,0.01,0.79,01-Dec-22
Slice,0.15,15.74,0,0,0,0,0,0,0.15,15.74,01-Dec-22
South Indian Bank Apps,0.18,53.2,0,0,0,0,0,0,0.18,53.2,01-Dec-22
Standard Chartered Bank Apps,0.16,90.42,0,0,0,0,0,0,0.16,90.42,01-Dec-22
State Bank of India Apps,4.22,1928.43,0,0,0,0,0,0,4.22,1928.43,01-Dec-22
Tamilnad Mercantile Bank Apps,0.08,12.13,0,0,0,0,0,0,0.08,12.13,01-Dec-22
TataNeu,0.15,17.64,0,0,0,0,0,0,0.15,17.64,01-Dec-22
UCO Bank Apps,0.31,93.32,0,0,0,0,0,0,0.31,93.32,01-Dec-22
Ultracash,0.03,1.65,0,0,0,0,0,0,0.03,1.65,01-Dec-22
Union Bank Apps,0.92,310.63,0,0,0,0,0,0,0.92,310.63,01-Dec-22
Utkarsh Small Finance Bank Apps,0.02,7.81,0,0,0,0,0,0,0.02,7.81,01-Dec-22
WhatsApp,11.05,917.49,0,0,0,0,0,0,11.05,917.49,01-Dec-22
Yes Bank Apps,35.98,13324.11,0,0,0.18,91.35,0,0,36.16,13415.46,01-Dec-22
Others,0.03,7.64,0,0,0,0,0,0,0.03,7.64,01-Dec-22
